Opt,CNN_Layers,Dense_Layers,Arch,Loss,Acc
SGD,4,4,4_4,1.583871,29.6522
SGD,1,2,1_2,1.457207,29.6522
Adadelta,6,0,6_0,1.244544,45.5652
Nadam,6,1,6_1,1.522944,24.6957
Nadam,4,4,4_4,1.743215,39.3913
Adam,6,4,6_4,1.809968,20.7826
Nadam,6,4,6_4,1.982520,20.3478
Nadam,7,0,7_0,1.271404,40.0000
Adadelta,4,2,4_2,0.973486,62.9565
rmsprop,0,1,0_1,0.312727,89.2174
Adamax,2,3,2_3,0.389651,86.1739
rmsprop,4,2,4_2,1.661177,26.4348
Adam,8,0,8_0,1.598010,22.6957
SGD,0,4,0_4,1.563239,29.6522
Adam,2,2,2_2,0.292618,89.3043
Nadam,0,2,0_2,0.275132,91.0435
Nadam,7,3,7_3,1.781373,20.6087
Adagrad,6,4,6_4,1.976011,22.6957
SGD,4,4,4_4,1.586590,29.6522
Adadelta,4,2,4_2,2.174101,20.9565
rmsprop,1,0,1_0,0.649124,75.7391
rmsprop,1,3,1_3,0.292437,90.1739
rmsprop,1,2,1_2,0.352924,87.4783
Adam,3,2,3_2,0.412404,84.7826
Nadam,7,0,7_0,1.219152,43.0435
Adadelta,4,3,4_3,1.384991,35.2174
Adam,0,2,0_2,0.252660,91.9130
rmsprop,7,0,7_0,1.197783,40.0000
Nadam,4,0,4_0,0.385637,87.5652
Adadelta,1,0,1_0,0.484250,81.2174
Adadelta,7,3,7_3,1.467223,25.2174
SGD,7,0,7_0,1.579039,29.6522
Adam,2,4,2_4,0.274373,90.0870
Adamax,7,0,7_0,1.095137,53.4783
Adam,1,4,1_4,0.250654,92.2609
Adagrad,5,2,5_2,1.361307,32.3478
Adadelta,6,3,6_3,2.016888,23.3913
Nadam,1,1,1_1,0.280832,90.6957
Adagrad,1,2,1_2,0.287417,89.4783
SGD,0,0,0_0,0.820645,68.0870
Adadelta,4,0,4_0,0.509757,84.4348
Nadam,3,4,3_4,0.602266,76.4348
Adagrad,7,2,7_2,2.102886,20.6957
Adam,0,3,0_3,0.253874,91.0435
Adagrad,3,3,3_3,1.760093,33.7391
SGD,6,1,6_1,1.570273,22.6957
Adadelta,7,2,7_2,1.648415,22.6957
rmsprop,6,4,6_4,2.296065,22.6957
Adam,5,0,5_0,0.435392,84.6957
Adagrad,5,4,5_4,1.806588,21.8261
Adadelta,1,2,1_2,0.302831,89.4783
Adamax,7,4,7_4,1.776714,22.6957
Adadelta,3,3,3_3,1.632834,34.0000
Adam,7,0,7_0,0.995300,53.0435
Adadelta,5,2,5_2,1.330522,35.8261
Adadelta,5,3,5_3,1.776922,20.7826
Adamax,8,4,8_4,1.802094,22.6957
Adam,8,4,8_4,1.857968,22.6957
Nadam,5,4,5_4,1.581257,26.7826
Adagrad,2,1,2_1,0.353290,88.3478
Nadam,8,2,8_2,1.509467,20.7826
Adagrad,2,3,2_3,1.322108,46.0870
Adagrad,1,2,1_2,0.267143,90.5217
Adamax,2,1,2_1,0.326996,89.4783
Adamax,7,1,7_1,1.604244,22.7826
Nadam,3,1,3_1,0.463541,81.8261
Adamax,1,4,1_4,0.235228,91.6522
Nadam,6,3,6_3,1.982506,22.7826
Nadam,0,2,0_2,0.266111,91.9130
Adamax,1,1,1_1,0.321965,88.8696
Adadelta,1,1,1_1,0.372048,86.5217
SGD,4,1,4_1,1.555571,29.6522
Adadelta,3,3,3_3,1.390994,35.3043
Adagrad,3,2,3_2,1.104574,55.3043
Adamax,3,3,3_3,1.357729,38.0870
Adagrad,1,4,1_4,0.376565,86.4348
Adam,0,2,0_2,0.239842,91.8261
rmsprop,7,1,7_1,1.419011,26.9565
Adagrad,7,0,7_0,1.594540,23.9130
SGD,7,2,7_2,1.594982,22.6957
Adam,1,0,1_0,0.382499,87.6522
SGD,0,1,0_1,1.458514,29.6522
Nadam,2,3,2_3,0.389179,86.8696
Adamax,3,1,3_1,0.347637,88.3478
rmsprop,5,0,5_0,0.528684,81.6522
Adam,3,3,3_3,1.544834,34.1739
Adam,8,0,8_0,1.234994,37.1304
Adamax,4,1,4_1,1.162844,56.3478
SGD,3,4,3_4,1.577297,29.6522
Adam,6,1,6_1,1.569524,24.2609
Adamax,3,0,3_0,0.434295,86.5217
Adagrad,3,2,3_2,1.252917,46.9565
Adamax,2,3,2_3,0.390662,85.6522
rmsprop,5,0,5_0,0.749948,72.7826
rmsprop,4,4,4_4,1.589105,27.2174
Adagrad,6,3,6_3,1.807230,21.3913
Adadelta,5,2,5_2,2.111901,21.0435
Adam,6,3,6_3,1.868749,19.3913
Adadelta,1,0,1_0,0.412104,86.8696
Adam,0,2,0_2,0.256852,90.9565
rmsprop,6,3,6_3,2.187844,23.4783
SGD,7,0,7_0,1.578959,29.6522
SGD,4,4,4_4,1.582857,29.6522
Nadam,8,1,8_1,2.273760,22.6957
Adagrad,8,0,8_0,1.479619,26.0870
Nadam,7,3,7_3,2.122010,20.6957
Adamax,0,0,0_0,0.380098,88.0000
rmsprop,4,2,4_2,1.610528,30.6957
Adagrad,6,0,6_0,1.283034,41.4783
Adadelta,3,4,3_4,1.407371,38.3478
SGD,7,1,7_1,1.587358,29.6522
Nadam,6,0,6_0,1.399165,32.7826
rmsprop,0,1,0_1,0.311980,89.8261
Adam,1,0,1_0,0.396937,86.2609
Adadelta,1,1,1_1,0.456072,84.0000
Adadelta,6,3,6_3,1.681134,27.6522
SGD,7,4,7_4,1.589062,29.6522
SGD,4,1,4_1,1.561870,29.6522
Nadam,1,4,1_4,0.291155,91.1304
Adam,8,0,8_0,1.275580,41.3043
Adagrad,6,0,6_0,1.301359,40.0000
Nadam,8,4,8_4,1.910322,22.6957
rmsprop,0,4,0_4,0.340755,87.2174
rmsprop,0,2,0_2,0.378378,87.4783
Adam,1,2,1_2,0.241520,92.0870
rmsprop,0,2,0_2,0.341097,87.0435
Adam,6,2,6_2,1.969725,20.9565
SGD,6,2,6_2,1.581516,29.6522
Adam,2,1,2_1,0.335350,88.8696
Adamax,5,2,5_2,1.869323,25.1304
Adam,7,3,7_3,1.820666,22.6957
SGD,5,2,5_2,1.589649,29.6522
Adam,8,3,8_3,1.859507,22.6957
Adamax,0,1,0_1,0.305842,90.0000
Adagrad,7,2,7_2,1.518082,22.6957
Adamax,1,4,1_4,0.272610,91.2174
Adadelta,2,1,2_1,0.516939,79.6522
Adadelta,1,3,1_3,0.295999,88.8696
Adamax,4,0,4_0,0.467694,86.6087
Adamax,4,3,4_3,1.813365,26.0870
Nadam,8,4,8_4,1.720641,23.2174
Adagrad,4,3,4_3,1.714674,27.2174
Adadelta,4,3,4_3,1.206543,43.4783
Adam,2,4,2_4,0.519782,81.0435
Nadam,2,1,2_1,0.343709,86.7826
rmsprop,6,3,6_3,1.935461,23.4783
SGD,6,4,6_4,1.589291,29.6522
rmsprop,1,4,1_4,0.339460,87.9130
Adam,2,1,2_1,0.272520,91.2174
Adamax,4,3,4_3,2.000246,25.5652
Adadelta,3,0,3_0,0.452061,86.0000
rmsprop,8,2,8_2,1.897269,22.6957
rmsprop,2,2,2_2,0.387657,85.7391
Adam,7,3,7_3,2.147031,22.6957
rmsprop,0,3,0_3,0.323226,89.3913
Adamax,3,3,3_3,1.381424,39.0435
Adamax,0,0,0_0,0.449575,85.3913
Adam,5,0,5_0,0.624039,76.6087
rmsprop,8,2,8_2,1.984332,22.6957
Adam,7,0,7_0,1.166241,41.3043
rmsprop,7,3,7_3,1.713338,24.0000
Adadelta,5,4,5_4,1.415364,29.0435
Nadam,7,3,7_3,1.789335,22.8696
Adadelta,0,1,0_1,0.480727,82.5217
Adam,6,3,6_3,2.050728,23.3043
Adagrad,4,0,4_0,0.502597,81.7391
SGD,7,4,7_4,1.588958,29.6522
Adadelta,2,4,2_4,0.499267,82.0870
rmsprop,2,2,2_2,0.376992,85.7391
Adadelta,0,0,0_0,0.386305,87.9130
Adam,4,3,4_3,1.695084,26.4348
Adagrad,0,2,0_2,0.278636,89.8261
rmsprop,3,1,3_1,0.855891,66.4348
Adam,8,1,8_1,1.279710,40.3478
Adagrad,3,2,3_2,1.201502,53.4783
Adamax,0,1,0_1,0.283492,89.7391
Adagrad,1,1,1_1,0.329977,88.4348
SGD,0,2,0_2,1.543843,29.6522
Adam,0,4,0_4,0.242322,92.1739
SGD,6,0,6_0,1.580389,29.6522
SGD,7,2,7_2,1.587448,29.6522
rmsprop,5,4,5_4,2.396268,20.4348
Nadam,7,2,7_2,1.732732,26.8696
rmsprop,5,2,5_2,2.037323,21.5652
Adagrad,3,0,3_0,0.460161,85.5652
Adadelta,0,3,0_3,0.297072,89.3913
Adam,0,1,0_1,0.294833,90.5217
rmsprop,6,1,6_1,1.659436,23.8261
Adadelta,4,2,4_2,1.129375,51.7391
Adamax,3,1,3_1,0.347270,88.4348
SGD,8,2,8_2,1.589138,29.6522
Adagrad,8,3,8_3,1.785577,22.6957
Nadam,2,0,2_0,0.412502,86.6087
Adadelta,5,4,5_4,1.765831,22.0000
Adadelta,2,4,2_4,1.057816,56.1739
rmsprop,5,3,5_3,1.914691,20.5217
Nadam,7,2,7_2,1.562700,23.2174
Nadam,3,1,3_1,0.373225,86.0870
Nadam,2,1,2_1,0.347830,86.8696
SGD,4,2,4_2,1.566788,29.6522
rmsprop,4,4,4_4,1.839121,22.0870
Adamax,8,0,8_0,1.608377,22.6957
Adadelta,4,0,4_0,0.641966,78.6957
Adam,2,2,2_2,0.275034,90.1739
Adam,1,1,1_1,0.258649,91.7391
rmsprop,0,4,0_4,0.336156,88.0870
Nadam,5,3,5_3,1.593867,30.4348
Adadelta,5,3,5_3,1.396607,25.0435
Adagrad,2,3,2_3,1.103111,56.0000
Adadelta,2,2,2_2,0.315537,88.6957
rmsprop,8,1,8_1,1.720100,22.6957
rmsprop,4,2,4_2,1.495684,33.3043
Adadelta,5,4,5_4,1.890895,20.5217
Adagrad,1,0,1_0,0.424356,87.3043
Adagrad,2,4,2_4,0.324972,88.3478
rmsprop,1,2,1_2,0.370663,86.6957
SGD,5,0,5_0,1.578929,29.6522
Adagrad,7,2,7_2,1.663090,23.8261
